Date,Open,High,Low,Close,Volume,Adj Close
2016-01-15,2.95,2.95,2.52,2.64,77500,2.64
2016-01-14,2.86,2.93,2.644,2.93,72500,2.93
2016-01-13,3.19,3.19,2.84,2.94,36600,2.94
2016-01-12,3.23,3.23,3.05,3.14,59400,3.14
2016-01-11,3.25,3.40,3.11,3.18,299100,3.18
2016-01-08,3.04,3.38,3.04,3.24,316200,3.24
2016-01-07,3.13,3.25,3.02,3.10,126600,3.10
2016-01-06,3.50,3.50,3.242,3.34,122900,3.34
2016-01-05,3.11,3.75,3.11,3.54,703900,3.54
2016-01-04,3.25,3.25,3.06,3.089,42700,3.089
2015-12-31,3.08,3.173,3.05,3.15,96600,3.15
2015-12-30,3.26,3.26,3.14,3.19,53300,3.19
2015-12-29,3.37,3.37,3.139,3.37,184500,3.37
2015-12-28,3.18,3.33,3.17,3.33,39100,3.33
2015-12-24,3.31,3.31,3.161,3.27,102100,3.27
2015-12-23,3.44,3.482,3.33,3.38,99300,3.38
2015-12-22,3.46,3.562,3.31,3.44,108900,3.44
2015-12-21,3.85,3.94,3.35,3.44,265400,3.44
2015-12-18,3.70,3.85,3.38,3.72,445900,3.72
2015-12-17,4.28,4.38,3.55,3.75,1052600,3.75
2015-12-16,4.10,4.25,4.01,4.04,876600,4.04
2015-12-15,5.17,5.70,4.31,4.47,10378600,4.47
2015-12-14,3.63,3.80,3.27,3.57,1233500,3.57
2015-12-11,2.98,3.15,2.85,3.07,241900,3.07
2015-12-10,3.00,3.95,3.00,3.13,2170300,3.13
2015-12-09,2.85,2.90,2.83,2.89,55100,2.89
2015-12-08,2.82,2.93,2.62,2.93,114100,2.93
2015-12-07,2.82,3.00,2.72,2.85,229900,2.85
2015-12-04,2.78,2.80,2.55,2.67,16200,2.67
2015-12-03,2.55,2.75,2.42,2.70,138600,2.70
2015-12-02,2.48,2.57,2.42,2.47,17800,2.47
2015-12-01,2.46,2.59,2.35,2.48,129600,2.48
2015-11-30,2.75,2.77,2.51,2.51,40500,2.51
2015-11-27,2.73,2.78,2.68,2.78,30800,2.78
2015-11-25,2.50,2.76,2.47,2.61,114500,2.61
2015-11-24,2.91,2.92,2.36,2.43,173200,2.43
2015-11-23,3.05,3.16,2.96,2.99,257600,2.99
2015-11-20,3.26,3.41,3.05,3.19,532900,3.19
