Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,86.610001,86.849998,86.00,86.510002,2033000,85.78939
2016-03-31,87.129997,87.739998,86.300003,86.550003,1716200,85.829058
2016-03-30,86.50,87.449997,86.419998,87.089996,1659900,86.364553
2016-03-29,86.550003,86.860001,85.730003,86.419998,1413400,85.700136
2016-03-28,87.040001,87.400002,85.709999,86.480003,1463800,85.759641
2016-03-24,86.860001,87.230003,85.949997,86.169998,2449700,85.452219
2016-03-23,87.50,87.839996,87.089996,87.269997,1327800,86.543054
2016-03-22,87.269997,87.529999,86.620003,87.160004,1687800,86.433978
2016-03-21,87.580002,87.839996,86.800003,87.129997,1626400,86.404221
2016-03-18,86.120003,87.779999,85.410004,87.480003,3676000,86.751312
2016-03-17,87.07,87.470001,85.730003,85.879997,3023200,85.164633
2016-03-16,86.290001,87.339996,85.940002,87.07,1399200,86.344723
2016-03-15,87.50,88.129997,86.110001,86.300003,2220400,85.581141
2016-03-14,89.059998,89.769997,87.879997,87.959999,1453500,87.227309
2016-03-11,87.019997,89.639999,86.559998,89.550003,3536400,88.804069
2016-03-10,88.010002,88.160004,85.809998,86.18,3419100,85.462137
2016-03-09,87.790001,88.010002,87.370003,87.57,1817700,86.840558
2016-03-08,88.330002,88.339996,87.139999,87.82,1834800,87.088476
2016-03-07,87.360001,88.25,87.190002,88.099998,1757300,87.366142
2016-03-04,88.169998,88.470001,87.779999,88.00,1666700,87.266977
2016-03-03,87.629997,88.339996,87.129997,88.220001,1908000,87.485145
2016-03-02,87.43,87.959999,87.040001,87.629997,1628200,86.900056
2016-03-01,86.800003,87.730003,86.470001,87.43,1942000,86.701725
2016-02-29,87.370003,87.510002,86.440002,86.620003,2595900,85.898475
2016-02-26,87.849998,88.57,87.470001,87.540001,1160700,86.810809
2016-02-25,87.550003,88.029999,86.879997,87.599998,1264500,86.870307
2016-02-24,86.519997,87.279999,85.800003,87.080002,2737300,86.354642
2016-02-23,87.690002,88.190002,86.860001,87.349998,1675800,86.62239
2016-02-22,86.860001,87.889999,86.830002,87.699997,2193800,86.969473
2016-02-19,86.739998,87.050003,86.279999,86.839996,1653600,86.116636
2016-02-18,87.029999,87.489998,86.589996,86.690002,2225800,85.967891
2016-02-17,86.059998,87.830002,85.720001,87.489998,3574700,86.424054
2016-02-16,86.110001,86.230003,85.00,85.610001,2234400,84.566962
2016-02-12,84.599998,85.610001,84.489998,85.610001,1880400,84.566962
2016-02-11,84.25,85.089996,84.190002,84.550003,2758400,83.519879
2016-02-10,85.440002,86.349998,85.220001,85.599998,2708300,84.557082
2016-02-09,82.690002,85.040001,82.620003,84.75,2809000,83.717439
2016-02-08,83.889999,84.239998,82.720001,83.620003,4596600,82.60121
2016-02-05,84.00,86.129997,82.660004,84.699997,4853500,83.668046
2016-02-04,80.510002,87.970001,80.50,84.400002,8039400,83.371705
2016-02-03,88.339996,88.550003,86.870003,87.989998,3997400,86.917962
2016-02-02,88.599998,89.889999,87.949997,88.139999,2849600,87.066136
2016-02-01,89.110001,89.379997,87.660004,89.00,3036300,87.915659
2016-01-29,87.550003,89.599998,87.279999,89.559998,3764800,88.468834
2016-01-28,90.50,90.730003,87.089996,87.290001,6053000,86.226494
2016-01-27,91.290001,91.519997,89.730003,90.18,2844500,89.081283
2016-01-26,91.410004,91.589996,90.610001,91.260002,1327500,90.148126
2016-01-25,91.989998,92.230003,91.050003,91.269997,2439400,90.157999
2016-01-22,91.889999,92.080002,90.839996,91.00,1985800,89.891292
2016-01-21,90.900002,91.830002,89.790001,90.57,2196700,89.46653
2016-01-20,91.790001,92.25,89.68,90.900002,4490400,89.792512
2016-01-19,93.290001,93.339996,91.589996,92.540001,3424200,91.41253
2016-01-15,93.239998,93.529999,91.43,92.769997,3212400,91.639723
2016-01-14,92.790001,94.239998,92.419998,93.720001,2789400,92.578154
2016-01-13,94.309998,94.849998,92.940002,93.139999,4002700,92.005218
2016-01-12,94.449997,95.510002,93.779999,94.18,3620400,93.032548
2016-01-11,95.510002,96.00,93.809998,94.059998,5985800,92.914008
2016-01-08,99.160004,99.510002,97.800003,97.959999,1837100,96.766493
2016-01-07,100.870003,101.150002,98.489998,98.529999,3658700,97.329548
2016-01-06,101.459999,102.639999,101.309998,101.779999,2267300,100.539951
2016-01-05,102.199997,103.400002,101.589996,103.360001,2049900,102.100703
2016-01-04,102.309998,102.639999,101.290001,101.870003,2327000,100.628859
2015-12-31,104.470001,105.120003,103.68,103.709999,1107600,102.446437
2015-12-30,104.940002,105.809998,104.790001,105.019997,1043900,103.740474
2015-12-29,104.690002,105.349998,104.279999,104.769997,828300,103.49352
2015-12-28,103.849998,104.57,103.480003,104.190002,804400,102.920592
2015-12-24,103.709999,104.190002,103.519997,103.949997,435400,102.683511
2015-12-23,103.150002,104.239998,102.800003,103.940002,1244500,102.673638
2015-12-22,103.00,103.440002,102.199997,103.160004,1087900,101.903143
2015-12-21,102.169998,102.919998,101.610001,102.889999,1669300,101.636428
2015-12-18,102.129997,102.610001,101.239998,101.879997,4466700,100.638731
2015-12-17,101.690002,102.889999,101.440002,102.339996,2791700,101.093126
2015-12-16,102.099998,102.440002,100.440002,101.589996,1993700,100.352264
2015-12-15,103.019997,103.489998,101.339996,101.690002,2225600,100.451051
2015-12-14,102.199997,102.75,101.330002,102.529999,2361600,101.280814
2015-12-11,101.489998,102.809998,101.290001,102.080002,2028300,100.836299
2015-12-10,100.93,102.419998,100.620003,101.949997,2678700,100.707878
2015-12-09,99.529999,101.010002,99.370003,100.669998,3365700,99.443475
2015-12-08,99.650002,100.580002,99.330002,100.470001,1716200,99.245914
2015-12-07,99.919998,100.400002,99.339996,99.980003,1265100,98.761886
2015-12-04,99.120003,100.400002,98.540001,99.889999,1697100,98.672979
2015-12-03,99.010002,99.209999,98.029999,98.709999,2629000,97.507355
2015-12-02,99.830002,100.010002,98.510002,98.849998,1468000,97.645649
2015-12-01,98.839996,99.830002,98.809998,99.50,1823400,98.287731
2015-11-30,99.080002,99.489998,98.629997,98.639999,1579800,97.438208
2015-11-27,99.019997,99.699997,98.470001,98.989998,775400,97.783943
2015-11-25,99.00,99.220001,97.830002,98.93,2090700,97.724676
2015-11-24,98.160004,98.620003,97.75,98.50,1628200,97.299915
2015-11-23,99.00,99.00,98.470001,98.730003,1062400,97.527116
2015-11-20,99.599998,99.919998,98.639999,99.099998,2299700,97.892603
2015-11-19,100.330002,100.860001,99.040001,99.190002,2044100,97.98151
2015-11-18,99.07,100.440002,98.870003,100.309998,1988700,99.08786
2015-11-17,97.730003,99.529999,97.330002,99.169998,2315600,97.96175
2015-11-16,96.860001,98.07,96.540001,97.300003,1829000,96.114538
2015-11-13,96.589996,97.629997,96.220001,96.589996,1728200,95.413182
2015-11-12,96.290001,98.379997,96.290001,96.910004,1914300,95.72929
2015-11-11,99.410004,99.639999,98.150002,98.239998,1512500,96.707223
2015-11-10,97.50,99.050003,97.18,98.870003,1815300,97.327398
2015-11-09,97.330002,97.910004,96.379997,97.400002,1699100,95.880333
2015-11-06,98.010002,98.709999,96.529999,97.610001,1601400,96.087055
2015-11-05,97.800003,98.410004,97.379997,97.889999,2012400,96.362685
2015-11-04,97.669998,97.949997,96.690002,97.470001,1871000,95.94924
2015-11-03,97.440002,98.169998,96.769997,97.669998,1670100,96.146117
2015-11-02,97.510002,98.050003,96.559998,97.830002,2434200,96.303624
2015-10-30,97.269997,98.489998,96.400002,96.510002,3115100,95.004219
2015-10-29,97.269997,97.540001,93.019997,96.82,5179700,95.30938
2015-10-28,97.68,98.18,96.209999,97.50,3478500,95.978771
2015-10-27,93.93,102.639999,92.989998,97.540001,9731300,96.018148
2015-10-26,93.059998,94.160004,92.839996,93.629997,2502000,92.169149
2015-10-23,93.650002,94.290001,92.400002,93.129997,2597000,91.67695
2015-10-22,92.879997,93.690002,91.790001,92.800003,3423200,91.352105
2015-10-21,93.449997,93.830002,91.690002,92.709999,2795500,91.263505
2015-10-20,94.620003,95.050003,92.870003,93.18,2668100,91.726173
2015-10-19,94.970001,95.540001,94.169998,94.790001,1561100,93.311054
2015-10-16,94.620003,95.32,94.339996,95.059998,1680200,93.576838
2015-10-15,93.160004,94.300003,92.110001,94.07,2959600,92.602287
2015-10-14,94.00,94.980003,92.739998,93.029999,2190400,91.578512
2015-10-13,93.879997,95.190002,93.800003,94.150002,3040800,92.68104
2015-10-12,93.019997,93.75,92.800003,93.720001,1920500,92.257749
2015-10-09,93.230003,93.690002,92.330002,92.839996,2815900,91.391474
2015-10-08,93.059998,93.879997,91.769997,93.540001,2198700,92.080557
2015-10-07,93.349998,93.730003,92.260002,92.940002,2645500,91.48992
2015-10-06,95.470001,95.900002,92.269997,93.029999,3778000,91.578512
2015-10-05,95.339996,95.830002,94.010002,94.989998,2542000,93.507931
2015-10-02,92.339996,94.980003,90.82,94.910004,3488900,93.429185
2015-10-01,94.989998,95.110001,93.199997,94.510002,3193100,93.035424
2015-09-30,96.080002,96.68,94.07,94.989998,2381200,93.507931
2015-09-29,96.190002,96.809998,94.410004,95.050003,2988500,93.567
2015-09-28,99.339996,99.650002,96.110001,96.190002,3379100,94.689212
2015-09-25,102.389999,102.470001,99.389999,99.839996,1768400,98.282258
2015-09-24,102.43,102.57,100.589996,101.970001,1616000,100.37903
2015-09-23,103.199997,103.669998,102.279999,102.82,2217800,101.215766
2015-09-22,104.339996,104.50,102.660004,103.269997,2487100,101.658742
2015-09-21,106.580002,107.360001,104.760002,105.279999,1459700,103.637383
2015-09-18,105.910004,106.919998,105.300003,106.099998,2222300,104.444589
2015-09-17,106.440002,108.18,105.629997,106.779999,1631800,105.11398
2015-09-16,105.510002,106.449997,104.82,106.290001,1538900,104.631627
2015-09-15,104.720001,105.809998,104.209999,105.559998,1481600,103.913014
2015-09-14,104.82,105.480003,103.790001,104.620003,1762400,102.987685
2015-09-11,101.879997,104.400002,101.82,104.339996,1994700,102.712047
2015-09-10,100.650002,102.879997,100.360001,102.029999,1782300,100.438091
2015-09-09,101.139999,103.459999,100.550003,100.75,1588400,99.178063
2015-09-08,100.800003,101.18,99.790001,101.050003,1844800,99.473386
2015-09-04,100.660004,101.400002,98.360001,98.989998,2526600,97.445521
2015-09-03,100.900002,101.489998,99.620003,100.00,1580100,98.439765
2015-09-02,101.769997,101.769997,99.099998,100.279999,1695600,98.715395
2015-09-01,97.550003,100.860001,97.550003,99.269997,2533400,97.721151
2015-08-31,100.870003,101.839996,95.610001,100.040001,1496300,98.479142
2015-08-28,101.339996,101.489998,100.309998,100.870003,1693500,99.296194
2015-08-27,101.470001,101.790001,99.400002,101.150002,4173800,99.571824
2015-08-26,99.389999,100.860001,97.050003,100.610001,2741300,99.040248
2015-08-25,100.620003,100.879997,97.32,97.410004,2699900,95.890179
2015-08-24,93.00,98.529999,91.480003,98.529999,4569800,96.992699
2015-08-21,102.480003,103.489998,101.339996,101.800003,2746200,100.211684
2015-08-20,105.099998,105.699997,103.339996,103.370003,1792900,101.757188
2015-08-19,104.519997,107.019997,103.849998,106.139999,2161900,104.483966
2015-08-18,104.360001,105.870003,104.360001,104.949997,1091100,103.31253
2015-08-17,103.75,104.68,102.790001,104.620003,987900,102.987685
2015-08-14,103.980003,104.190002,103.410004,103.940002,1040600,102.318294
2015-08-13,104.730003,105.290001,102.290001,103.879997,1667000,102.259225
2015-08-12,104.190002,105.839996,102.449997,104.379997,1855300,102.465949
2015-08-11,104.239998,105.00,103.480003,104.510002,1647100,102.59357
2015-08-10,105.040001,106.260002,104.449997,104.650002,1423000,102.731002
2015-08-07,104.510002,104.650002,102.879997,104.360001,2696100,102.446319
2015-08-06,107.370003,107.849998,104.559998,104.75,1776200,102.829167
2015-08-05,106.650002,107.50,106.419998,107.25,1667800,105.283324
2015-08-04,106.160004,106.959999,105.769997,106.209999,2189900,104.262393
2015-08-03,105.75,106.650002,105.139999,105.82,1741500,103.879546
2015-07-31,104.580002,106.25,104.129997,105.75,2718800,103.81083
2015-07-30,107.489998,107.489998,104.309998,104.470001,3974200,102.554302
2015-07-29,107.790001,109.080002,107.07,107.779999,2402700,105.803604
2015-07-28,107.800003,108.220001,106.769997,108.00,1796600,106.019571
2015-07-27,108.129997,108.290001,106.800003,107.370003,2690000,105.401126
2015-07-24,109.769997,110.139999,108.449997,108.730003,2145300,106.736188
2015-07-23,110.620003,114.019997,109.519997,110.120003,4172000,108.100698
2015-07-22,114.010002,115.410004,113.870003,114.949997,2397200,112.842123
2015-07-21,114.650002,114.940002,113.50,114.099998,1466000,112.007712
2015-07-20,113.230003,115.00,113.18,114.760002,1975900,112.655612
2015-07-17,111.849998,113.660004,111.099998,113.199997,1931900,111.124214
2015-07-16,111.00,111.93,109.93,111.879997,1736300,109.828419
2015-07-15,110.669998,110.93,109.50,110.529999,947200,108.503176
2015-07-14,109.989998,110.690002,109.230003,110.400002,1505700,108.375563
2015-07-13,110.519997,110.650002,109.360001,110.07,1010200,108.051612
2015-07-10,109.739998,109.980003,109.269997,109.459999,1170500,107.452797
2015-07-09,108.970001,109.150002,108.080002,108.860001,2158700,106.863801
2015-07-08,107.540001,108.559998,107.389999,107.830002,1174200,105.85269
2015-07-07,108.739998,108.790001,107.010002,108.629997,1298500,106.638015
2015-07-06,106.470001,108.57,106.00,108.029999,1634600,106.049019
2015-07-02,107.709999,108.32,107.029999,107.099998,1269000,105.136073
2015-07-01,107.169998,108.07,106.870003,107.709999,1896900,105.734888
2015-06-30,106.300003,107.309998,106.150002,106.339996,1958600,104.390007
2015-06-29,106.809998,107.620003,105.779999,106.099998,1730600,104.15441
2015-06-26,108.07,108.559998,107.32,107.839996,1622900,105.862501
2015-06-25,109.489998,109.699997,107.309998,107.610001,3239100,105.636723
2015-06-24,111.50,111.599998,109.57,109.599998,1558200,107.590229
2015-06-23,112.18,112.470001,111.580002,111.809998,1035500,109.759703
2015-06-22,112.580002,113.190002,111.650002,111.790001,902800,109.740073
2015-06-19,111.720001,112.309998,111.339996,111.470001,4169800,109.425941
2015-06-18,111.50,112.629997,110.720001,111.919998,1329800,109.867687
2015-06-17,111.379997,112.129997,110.870003,111.510002,1597600,109.465209
2015-06-16,110.68,112.089996,110.169998,111.18,1671200,109.141258
2015-06-15,109.769997,112.330002,109.00,110.629997,2277600,108.601341
2015-06-12,111.00,111.00,109.809998,110.150002,1163100,108.130147
2015-06-11,108.919998,111.139999,108.800003,110.410004,1906300,108.385381
2015-06-10,109.040001,109.190002,108.279999,108.75,1980200,106.755818
2015-06-09,110.739998,110.739998,108.610001,109.120003,1917900,107.119035
2015-06-08,111.309998,111.809998,110.209999,110.220001,1335500,108.198863
2015-06-05,111.209999,111.650002,110.25,111.50,1382000,109.45539
2015-06-04,111.470001,112.599998,111.099998,111.489998,1562500,109.445571
2015-06-03,112.349998,113.160004,112.190002,112.379997,1452800,110.31925
2015-06-02,112.550003,113.339996,112.010002,112.480003,1403100,110.417423
2015-06-01,112.809998,113.760002,111.830002,113.260002,1359500,111.183118
2015-05-29,113.220001,114.400002,112.559998,112.559998,4702600,110.49595
2015-05-28,113.150002,114.059998,112.93,113.099998,1360800,111.026049
2015-05-27,112.910004,113.82,112.769997,113.589996,1250300,111.507061
2015-05-26,113.879997,114.449997,112.809998,113.00,1560000,110.927884
2015-05-22,113.760002,114.339996,113.529999,113.800003,1498400,111.713217
2015-05-21,114.50,114.809998,113.870003,113.940002,2319300,111.850649
2015-05-20,115.099998,115.510002,114.699997,114.709999,1885300,112.606526
2015-05-19,113.540001,115.580002,113.419998,115.110001,1902400,112.999193
2015-05-18,113.360001,113.620003,112.559998,113.309998,2804100,111.232197
2015-05-15,114.860001,115.07,113.75,114.18,1947800,112.086246
2015-05-14,114.400002,114.839996,114.00,114.660004,2416800,112.557448
2015-05-13,115.470001,115.849998,114.169998,114.300003,1533400,111.919368
2015-05-12,114.50,115.449997,114.269997,115.050003,1988900,112.653747
2015-05-11,115.139999,115.809998,114.75,114.910004,1592300,112.516664
2015-05-08,114.540001,116.00,114.529999,115.300003,2486100,112.89854
2015-05-07,114.279999,115.07,113.790001,114.07,1706800,111.694156
2015-05-06,114.900002,115.129997,113.510002,114.059998,1703600,111.684362
2015-05-05,115.620003,115.75,114.400002,114.699997,1844000,112.311031
2015-05-04,114.669998,116.279999,114.510002,115.25,2195200,112.849579
2015-05-01,115.120003,115.32,113.830002,114.610001,2903800,112.222909
2015-04-30,117.389999,120.68,113.029999,114.300003,5198100,111.919368
2015-04-29,113.690002,113.989998,112.120003,112.440002,2200100,110.098108
2015-04-28,114.00,114.620003,112.610001,113.959999,1339900,111.586446
2015-04-27,115.879997,115.879997,113.849998,114.110001,1562800,111.733323
2015-04-24,115.099998,115.980003,114.190002,115.480003,849200,113.074792
2015-04-23,113.809998,116.18,113.57,115.199997,2152100,112.800617
2015-04-22,113.849998,114.410004,113.370003,113.809998,1145300,111.439569
2015-04-21,113.889999,114.489998,113.239998,113.889999,1176800,111.517904
2015-04-20,112.959999,113.559998,112.889999,113.190002,1413000,110.832487
2015-04-17,113.209999,113.709999,112.050003,112.610001,2296800,110.264565
2015-04-16,113.410004,114.059998,112.529999,113.830002,1055600,111.459156
2015-04-15,114.199997,114.330002,112.779999,113.620003,1328000,111.253531
2015-04-14,114.339996,114.449997,112.699997,114.00,1032000,111.625614
2015-04-13,115.309998,115.879997,113.660004,113.989998,1826900,111.61582
2015-04-10,113.400002,115.550003,113.220001,115.349998,1879600,112.947495
2015-04-09,113.309998,114.279999,112.639999,113.50,2425500,111.136028
2015-04-08,112.769997,113.50,112.43,113.239998,2048900,110.881441
2015-04-07,112.910004,113.489998,112.449997,112.68,1189900,110.333107
2015-04-06,111.989998,113.129997,111.790001,112.540001,1869200,110.196024
2015-04-02,112.160004,112.589996,111.580002,112.389999,2049400,110.049146
2015-04-01,113.93,113.93,111.410004,112.029999,2171900,109.696644
2015-03-31,113.419998,114.269997,113.419998,113.669998,2254200,111.302485
2015-03-30,113.699997,114.00,113.370003,113.489998,2179900,111.126234
2015-03-27,112.330002,113.580002,112.209999,113.190002,1881900,110.832487
2015-03-26,111.50,113.050003,110.540001,112.089996,2411800,109.755392
2015-03-25,113.900002,114.599998,111.800003,112.139999,2066900,109.804353
2015-03-24,113.639999,114.730003,113.360001,113.889999,1913500,111.517904
